timestamp,site
2013-04-12 13:46:54,javadl-esd.sun.com
2013-04-12 13:47:48,go.microsoft.com
2013-04-12 13:47:48,www.iegallery.com
2013-04-12 13:47:49,www.iegallery.com
2013-04-12 13:47:50,www.iegallery.com
2013-04-12 13:47:51,www.iegallery.com
2013-04-12 13:47:52,www.iegallery.com
2013-04-12 13:47:53,www.bing.com
2013-04-12 13:47:53,www.iegallery.com
2013-04-12 13:47:58,api.bing.com
2013-04-12 13:47:59,api.bing.com
2013-04-12 13:47:59,www.bing.com
2013-04-12 13:48:00,www.bing.com
2013-04-12 13:48:01,fr.msn.com
2013-04-12 13:48:01,www.bing.com
2013-04-12 13:48:01,cms.abmr.net
2013-04-12 13:48:01,login.live.com
2013-04-12 13:48:02,api.bing.com
2013-04-12 13:48:02,www.bing.com
2013-04-12 13:48:02,c.fr.msn.com
2013-04-12 13:48:02,h2.msn.com
2013-04-12 13:48:03,c.fr.msn.com
2013-04-12 13:48:03,cntr.adrcntr.com
2013-04-12 13:48:03,platform.twitter.com
2013-04-12 13:48:04,evt.adrcntr.com
2013-04-12 13:48:05,g.msn.com
2013-04-12 13:48:05,evt.adrcntr.com
2013-04-12 13:48:05,www.mail.live.com
2013-04-12 13:48:07,evt.adrcntr.com
2013-04-12 13:48:09,evt.adrcntr.com
2013-04-12 13:48:10,evt.adrcntr.com
2013-04-12 13:48:10,platform.twitter.com
2013-04-12 13:48:10,hub.video.msn.com
2013-04-12 13:48:10,img1.video.s-msn.com
2013-04-12 13:48:10,www.bing.com
2013-04-12 13:48:11,fr.msn.com
2013-04-12 13:48:11,img1.video.s-msn.com
2013-04-12 13:48:11,img2.video.s-msn.com
2013-04-12 13:48:11,connect.facebook.net
2013-04-12 13:48:11,static.ak.facebook.com
2013-04-12 13:48:11,www.bing.com
2013-04-12 13:48:11,s-static.ak.facebook.com
2013-04-12 13:48:11,www.facebook.com
2013-04-12 13:48:12,video.msn.com
2013-04-12 13:48:12,download.skype.com
2013-04-12 13:48:12,hub.video.msn.com
2013-04-12 13:48:12,www.facebook.com
2013-04-12 13:48:12,img2.video.s-msn.com
2013-04-12 13:48:14,www.facebook.com
2013-04-12 13:48:16,pbs.twimg.com
2013-04-12 13:48:18,login.live.com
2013-04-12 13:48:21,login.live.com
2013-04-12 13:48:25,twitter.com
2013-04-12 13:48:26,fr.msn.com
2013-04-12 13:48:38,login.live.com
2013-04-12 13:48:39,twitter.com
2013-04-12 13:48:39,login.secure.emea.msn.com
2013-04-12 13:48:39,platform.twitter.com
2013-04-12 13:49:00,syndication.twitter.com
2013-04-12 13:49:02,ieonline.microsoft.com
2013-04-12 13:49:04,windowslive.tt.omtrdc.net
2013-04-12 13:49:14,login.live.com
2013-04-12 13:49:24,login.live.com
2013-04-12 13:49:28,api.bing.com
2013-04-12 13:49:29,api.bing.com
2013-04-12 13:49:29,mail.live.com
2013-04-12 13:49:30,api.bing.com
2013-04-12 13:49:31,syndication.twitter.com
2013-04-12 13:49:32,www.bing.com
2013-04-12 13:49:34,dub124.mail.live.com
2013-04-12 13:49:36,dub124.mail.live.com
2013-04-12 13:49:38,cid-12b1ca890d5b02eb.users.storage.live.com
2013-04-12 13:49:39,dub124.mail.live.com
2013-04-12 13:49:40,dub124.mail.live.com
2013-04-12 13:49:41,people.directory.live.com
2013-04-12 13:49:42,h.live.com
2013-04-12 13:49:43,h.live.com
2013-04-12 13:49:44,dub124.mail.live.com
2013-04-12 13:49:45,dub124.mail.live.com
2013-04-12 13:49:45,h.live.com
2013-04-12 13:49:46,h.live.com
2013-04-12 13:49:46,dub124.mail.live.com
2013-04-12 13:49:46,people.directory.live.com
2013-04-12 13:49:47,login.live.com
2013-04-12 13:49:47,js.live.net
2013-04-12 13:49:47,dub124.mail.live.com
2013-04-12 13:49:49,dub124.mail.live.com
2013-04-12 13:49:49,secure.shared.live.com
2013-04-12 13:49:49,dm1files.storage.msn.com
2013-04-12 13:49:49,api.skype.com
2013-04-12 13:49:49,h.live.com
2013-04-12 13:49:50,login.live.com
2013-04-12 13:49:50,go.trouter.io
2013-04-12 13:49:51,api.skype.com
2013-04-12 13:49:52,dub124.mail.live.com
2013-04-12 13:49:52,api.skype.com
2013-04-12 13:49:52,storage.live.com
2013-04-12 13:49:53,prod.registrar.skype.com
2013-04-12 13:49:54,secure.shared.live.com
2013-04-12 13:49:55,windowslive.tt.omtrdc.net
2013-04-12 13:49:57,dub124.mail.live.com
2013-04-12 13:50:01,ssl.bing.com
2013-04-12 13:50:02,dub124.mail.live.com
2013-04-12 13:50:02,cid-12b1ca890d5b02eb.users.storage.live.com
2013-04-12 13:50:02,www.bing.com
2013-04-12 13:50:02,windowslive.tt.omtrdc.net
2013-04-12 13:50:46,syndication.twitter.com
2013-04-12 13:51:25,dub124.mail.live.com
2013-04-12 13:51:27,dub124.mail.live.com
2013-04-12 13:51:27,h.live.com
2013-04-12 13:51:28,cid-12b1ca890d5b02eb.users.storage.live.com
2013-04-12 13:51:34,login.live.com
2013-04-12 13:51:37,www.bing.com
2013-04-12 13:51:38,login.skype.com
2013-04-12 13:51:38,dub124.mail.live.com
2013-04-12 13:51:38,g.live.com
2013-04-12 13:51:51,outlook.com
2013-04-12 13:51:53,outlook.com
2013-04-12 13:51:54,login.live.com
2013-04-12 13:51:54,www.outlook.com
2013-04-12 13:51:55,outlook.com
2013-04-12 13:51:56,www.outlook.com
2013-04-12 13:51:56,login.live.com
2013-04-12 13:51:57,login.live.com
2013-04-12 13:52:16,login.live.com
2013-04-12 13:52:16,syndication.twitter.com
2013-04-12 13:52:17,mail.live.com
2013-04-12 13:52:18,dub111.mail.live.com
2013-04-12 13:52:19,cid-5495d8163157ec55.users.storage.live.com
2013-04-12 13:52:19,dub111.mail.live.com
2013-04-12 13:52:19,h.live.com
2013-04-12 13:52:20,dub111.mail.live.com
2013-04-12 13:52:21,dub111.mail.live.com
2013-04-12 13:52:21,h.live.com
2013-04-12 13:52:23,cid-5495d8163157ec55.users.storage.live.com
2013-04-12 13:52:24,login.live.com
2013-04-12 13:52:24,dub111.mail.live.com
2013-04-12 13:52:25,g.live.com
2013-04-12 13:52:25,people.directory.live.com
